traditional,simplified,pinyin_numbered,cvdict_meaning,hanzii_pinyin,hanzii_meaning,hanzii_part_of_speech,hanzii_collocations_json,hanzii_examples_json,hanzii_status
縱步,纵步,zong4 bu4,sải bước; nhảy vọt,,,,[],[],not_crawled
縱波,纵波,zong4 bo1,sóng dọc,,,,[],[],not_crawled
縱深,纵深,zong4 shen1,"chiều sâu (từ trước ra sau); chiều sâu (vào lãnh thổ); khoảng thời gian; (nghĩa bóng) chiều sâu (của bố trí, tiến trình, phát triển, v.v.)",,,,[],[],not_crawled
縱火,纵火,zong4 huo3,phóng hoả; phạm tội đốt cháy,,,,[],[],not_crawled
縱火犯,纵火犯,zong4 huo3 fan4,kẻ phóng hỏa,,,,[],[],not_crawled
縱然,纵然,zong4 ran2,dù cho; mặc dù,,,,[],[],not_crawled
縱目,纵目,zong4 mu4,nhìn xa tận chân trời,,,,[],[],not_crawled
縱神經索,纵神经索,zong4 shen2 jing1 suo3,dây thần kinh dọc,,,,[],[],not_crawled
縱紋,纵纹,zong4 wen2,vân dọc (trong não),,,,[],[],not_crawled
縱紋綠鵯,纵纹绿鹎,zong4 wen2 lu:4 bei1,(loài chim ở Trung Quốc) chim chào mào sọc (Pycnonotus striatus),,,,[],[],not_crawled
縱紋腹小鴞,纵纹腹小鸮,zong4 wen2 fu4 xiao3 xiao1,(loài chim ở Trung Quốc) cú mèo nhỏ (Athene noctua),,,,[],[],not_crawled
縱紋角鴞,纵纹角鸮,zong4 wen2 jiao3 xiao1,(loài chim ở Trung Quốc) cú mèo scops nhạt (Otus brucei),,,,[],[],not_crawled
縱線,纵线,zong4 xian4,đường dọc; đường tọa độ dọc,,,,[],[],not_crawled
縱聲,纵声,zong4 sheng1,lớn tiếng; bằng giọng to,,,,[],[],not_crawled
縱肌,纵肌,zong4 ji1,cơ dọc,,,,[],[],not_crawled
縱虎歸山,纵虎归山,zong4 hu3 gui1 shan1,ngh. thả hổ về rừng; (ví von) tích tụ tai họa tương lai,,,,[],[],not_crawled
縱裂,纵裂,zong4 lie4,thùy; khe dọc; vết nứt dọc,,,,[],[],not_crawled
縱覽,纵览,zong4 lan3,cái nhìn toàn cảnh; khảo sát rộng,,,,[],[],not_crawled
縱觀,纵观,zong4 guan1,khảo sát toàn diện; tổng quan,,,,[],[],not_crawled
縱言,纵言,zong4 yan2,lý luận chung chung,,,,[],[],not_crawled
縱談,纵谈,zong4 tan2,nói chuyện thoải mái,,,,[],[],not_crawled
縱論,纵论,zong4 lun4,nói chuyện thoải mái,,,,[],[],not_crawled
縱貫,纵贯,zong4 guan4,nghĩa đen: sợi dọc trong dệt vải; nghĩa bóng: đường dọc hoặc đường bắc-nam; xuyên qua; băng qua theo chiều dọc; xuyên thấu (đặc biệt là bắc-nam hoặc trên xuống dưới),,,,[],[],not_crawled
縱身,纵身,zong4 shen1,nhảy; vọt; quăng mình,,,,[],[],not_crawled
縱酒,纵酒,zong4 jiu3,uống quá chén,,,,[],[],not_crawled
縱隊,纵队,zong4 dui4,"hàng; dãy (đội hình người) (LT:列[lie4],路[lu4]); quân đoàn Giải phóng quân (1946-1949) (LT:個|个[ge4])",,,,[],[],not_crawled
縱隔,纵隔,zong4 ge2,trung thất (cơ quan và mô ở ngực giữa hai phổi),,,,[],[],not_crawled
縲,缧,lei2,(văn học) dây thừng dày dùng để trói phạm nhân,,,,[],[],not_crawled
縳,䌸,zhuan4,trói lại,,,,[],[],not_crawled
縴,纤,qian4,dây thừng kéo thuyền,,,,[],[],not_crawled
縴夫,纤夫,qian4 fu1,người kéo thuyền (phu kéo thuyền),,,,[],[],not_crawled
縴道,纤道,qian4 dao4,đường kéo thuyền (dọc theo kênh),,,,[],[],not_crawled
縵,缦,man4,lụa mỏng trơn; chậm; mộc mạc,,,,[],[],not_crawled
縶,絷,zhi2,kết nối; trói buộc,,,,[],[],not_crawled
縷,缕,lu:3,"sợi; chỉ; chi tiết; tỉ mỉ; lượng từ cho làn (khói, sương hoặc hơi nước), sợi, lọn (tóc)",,,,[],[],not_crawled
縷述,缕述,lu:3 shu4,kể lại một cách chi tiết,,,,[],[],not_crawled
縹,缥,piao1,dùng trong 縹渺|缥渺[piao1 miao3]; cách phát âm ở Đài Loan: [piao3],,,,[],[],not_crawled
縹,缥,piao3,(văn học) xanh nhạt; (văn học) vải lụa màu xanh nhạt,,,,[],[],not_crawled
縹囊,缥囊,piao3 nang2,túi đựng sách làm bằng lụa,,,,[],[],not_crawled
縹渺,缥渺,piao1 miao3,biến thể của 飄渺|飘渺[piao1 miao3],,,,[],[],not_crawled
縹緲,缥缈,piao1 miao3,biến thể của 飄渺|飘渺[piao1 miao3],,,,[],[],not_crawled
縻,縻,mi2,trói lại,,,,[],[],not_crawled
總,总,zong3,tổng thể; toàn bộ; tóm lại; trong mọi trường hợp; luôn luôn; lúc nào cũng; dù sao; sau tất cả; cuối cùng; không sớm thì muộn; chắc chắn; (sau tên người) viết tắt của 總經理|总经理[zong3 jing1 li3] hoặc 總編|总编[zong3 bian1] v.v.,,,,[],[],not_crawled
總主教,总主教,zong3 zhu3 jiao4,tổng giám mục; giáo trưởng (của một giáo hội); tổng giám mục đô thành,,,,[],[],not_crawled
總之,总之,zong3 zhi1,tóm lại; nói ngắn gọn; nói chung,,,,[],[],not_crawled
總人口,总人口,zong3 ren2 kou3,tổng dân số,,,,[],[],not_crawled
總供給,总供给,zong3 gong1 ji3,tổng cung,,,,[],[],not_crawled
總值,总值,zong3 zhi2,tổng giá trị,,,,[],[],not_crawled
總價,总价,zong3 jia4,tổng giá,,,,[],[],not_crawled
總公司,总公司,zong3 gong1 si1,công ty mẹ; trụ sở chính,,,,[],[],not_crawled
總共,总共,zong3 gong4,tổng cộng; tổng kết; tổng cộng lại; tổng số,,,,[],[],not_crawled
總分,总分,zong3 fen1,điểm tổng; tổng điểm,,,,[],[],not_crawled
總則,总则,zong3 ze2,nguyên tắc chung; nguyên lý chung; điều khoản chung,,,,[],[],not_crawled
總動員,总动员,zong3 dong4 yuan2,"tổng động viên (cho chiến tranh, v.v.)",,,,[],[],not_crawled
總務,总务,zong3 wu4,công việc chung; phòng tổng vụ; người phụ trách chung,,,,[],[],not_crawled
總匯,总汇,zong3 hui4,(dòng nước) hợp lại; hội tụ; ngã ba nước; (nghĩa bóng) tuyển tập; sự tập hợp; (trong tên cửa hàng) cửa hàng bách hóa; (Đài Loan) sandwich câu lạc bộ (viết tắt của 總匯三明治|总汇三明治[zong3 hui4 san1 ming2 zhi4]),,,,[],[],not_crawled
總匯三明治,总汇三明治,zong3 hui4 san1 ming2 zhi4,(Đài Loan) sandwich câu lạc bộ,,,,[],[],not_crawled
總卵黃管,总卵黄管,zong3 luan3 huang2 guan3,ống dẫn noãn hoàng chung,,,,[],[],not_crawled
總參謀部,总参谋部,Zong3 can1 mou2 bu4,(quân đội) Bộ Tổng Tham mưu,,,,[],[],not_crawled
總參謀長,总参谋长,zong3 can1 mou2 zhang3,(quân sự) Tổng Tham mưu trưởng,,,,[],[],not_crawled
總台,总台,zong3 tai2,quầy lễ tân; bàn tiếp tân,,,,[],[],not_crawled
總司令,总司令,zong3 si1 ling4,tổng tư lệnh; chỉ huy quân sự cao nhất của một quốc gia hoặc chiến trường,,,,[],[],not_crawled
總司令部,总司令部,zong3 si1 ling4 bu4,bộ tổng tư lệnh,,,,[],[],not_crawled
總合,总合,zong3 he2,thu thập lại; cộng dồn; tổng cộng,,,,[],[],not_crawled
總和,总和,zong3 he2,tổng,,,,[],[],not_crawled
總噸位,总吨位,zong3 dun1 wei4,tổng trọng tải (của đội tàu hoặc công ty),,,,[],[],not_crawled
總回報,总回报,zong3 hui2 bao4,tổng lợi nhuận; lợi tức gộp,,,,[],[],not_crawled
總局,总局,zong3 ju2,trụ sở chính; văn phòng tổng; quản lý trung ương,,,,[],[],not_crawled
總平面圖,总平面图,zong3 ping2 mian4 tu2,mặt bằng tổng thể; sơ đồ địa điểm,,,,[],[],not_crawled
總幹事,总干事,zong3 gan4 shi5,tổng thư ký,,,,[],[],not_crawled
總後勤部,总后勤部,Zong3 hou4 qin2 bu4,(quân sự) Tổng cục Hậu cần,,,,[],[],not_crawled
總得,总得,zong3 dei3,phải; cần phải; chắc chắn,,,,[],[],not_crawled
總成本,总成本,zong3 cheng2 ben3,tổng chi phí,,,,[],[],not_crawled
總括,总括,zong3 kuo4,tóm lại; toàn diện,,,,[],[],not_crawled
總指揮部,总指挥部,zong3 zhi3 hui1 bu4,bộ tổng chỉ huy,,,,[],[],not_crawled
總攬,总揽,zong3 lan3,chịu trách nhiệm hoàn toàn; kiểm soát toàn bộ; độc quyền,,,,[],[],not_crawled
總收入,总收入,zong3 shou1 ru4,tổng thu nhập,,,,[],[],not_crawled
總收益,总收益,zong3 shou1 yi4,tổng lợi nhuận; tổng thu hồi,,,,[],[],not_crawled
總政治部,总政治部,Zong3 zheng4 zhi4 bu4,Tổng cục Chính trị (quân đội),,,,[],[],not_crawled
總數,总数,zong3 shu4,tổng; tổng số,,,,[],[],not_crawled
總方針,总方针,zong3 fang1 zhen1,chính sách chung; hướng dẫn tổng thể,,,,[],[],not_crawled
總是,总是,zong3 shi4,luôn luôn,,,,[],[],not_crawled
總書記,总书记,zong3 shu1 ji5,tổng bí thư (của Đảng Cộng sản),,,,[],[],not_crawled
總會三明治,总会三明治,zong3 hui4 san1 ming2 zhi4,(Đài Loan) sandwich club (biến thể của 總匯三明治|总汇三明治[zong3 hui4 san1 ming2 zhi4]),,,,[],[],not_crawled
總會會長,总会会长,zong3 hui4 hui4 zhang3,chủ tịch hội,,,,[],[],not_crawled
總有,总有,zong3 you3,không thể tránh khỏi sẽ có,,,,[],[],not_crawled
總桿賽,总杆赛,zong3 gan1 sai4,đấu gậy (golf),,,,[],[],not_crawled
總機,总机,zong3 ji1,tổng đài điện thoại; tổng đài; board chuyển mạch,,,,[],[],not_crawled
總次數,总次数,zong3 ci4 shu4,tổng số lần,,,,[],[],not_crawled
總歸,总归,zong3 gui1,dù sao; sau cùng; cuối cùng,,,,[],[],not_crawled
總決賽,总决赛,zong3 jue2 sai4,chung kết (thể thao),,,,[],[],not_crawled
總法律顧問,总法律顾问,zong3 fa3 lu:4 gu4 wen4,Tổng cố vấn pháp lý,,,,[],[],not_crawled
總熱值,总热值,zong3 re4 zhi2,giá trị nhiệt lượng toàn phần,,,,[],[],not_crawled
總理,总理,zong3 li3,thủ tướng,,,,[],[],not_crawled
總理衙門,总理衙门,zong3 li3 ya2 men5,tương đương với Bộ Ngoại giao thời nhà Thanh,,,,[],[],not_crawled
總產值,总产值,zong3 chan3 zhi2,tổng sản phẩm; tổng giá trị sản xuất,,,,[],[],not_crawled
總產量,总产量,zong3 chan3 liang4,tổng sản lượng,,,,[],[],not_crawled
總的來說,总的来说,zong3 de5 lai2 shuo1,nói chung; tóm lại; tóm tắt; ngắn gọn,,,,[],[],not_crawled
總監,总监,zong3 jian1,người đứng đầu; giám đốc (của một đơn vị tổ chức); ủy viên cảnh sát; tổng thanh tra; cấp bậc địa phương thời nhà Đường,,,,[],[],not_crawled
總目,总目,zong3 mu4,siêu bộ (phân loại); mục lục; bảng mục lục,,,,[],[],not_crawled
總督,总督,zong3 du1,tổng đốc; phó vương; thống đốc,,,,[],[],not_crawled
總社,总社,zong3 she4,hợp tác xã (tổ chức); hợp tác (ví dụ: giữa các công ty),,,,[],[],not_crawled
總稱,总称,zong3 cheng1,thuật ngữ chung,,,,[],[],not_crawled
總站,总站,zong3 zhan4,điểm cuối,,,,[],[],not_crawled
總算,总算,zong3 suan4,cuối cùng; cuối cùng thì; nhìn chung,,,,[],[],not_crawled
總管,总管,zong3 guan3,phụ trách (một lĩnh vực chính); người phụ trách; quản lý; (cũ) quản gia (của gia đình giàu có); tổng quản,,,,[],[],not_crawled
總管理處,总管理处,zong3 guan3 li3 chu4,trụ sở chính; văn phòng điều hành chính,,,,[],[],not_crawled
總結,总结,zong3 jie2,tóm tắt; kết luận; tóm lược; sơ yếu lý lịch,,,,[],[],not_crawled
總統,总统,zong3 tong3,tổng thống (của một quốc gia),,,,[],[],not_crawled
總統任期,总统任期,zong3 tong3 ren4 qi1,nhiệm kỳ tổng thống; chức vụ tổng thống,,,,[],[],not_crawled
總統制,总统制,zong3 tong3 zhi4,hệ thống tổng thống,,,,[],[],not_crawled
總統大選,总统大选,zong3 tong3 da4 xuan3,cuộc bầu cử tổng thống,,,,[],[],not_crawled
總統府,总统府,zong3 tong3 fu3,phủ tổng thống,,,,[],[],not_crawled
總統選舉,总统选举,zong3 tong3 xuan3 ju3,cuộc bầu cử tổng thống,,,,[],[],not_crawled
總經理,总经理,zong3 jing1 li3,tổng giám đốc; CEO,,,,[],[],not_crawled
總線,总线,zong3 xian4,bus máy tính,,,,[],[],not_crawled
總編,总编,zong3 bian1,tổng biên tập (của báo); viết tắt của 總編輯|总编辑,,,,[],[],not_crawled
總編輯,总编辑,zong3 bian1 ji2,tổng biên tập (của báo),,,,[],[],not_crawled
總署,总署,zong3 shu3,văn phòng tổng hợp,,,,[],[],not_crawled
總而言之,总而言之,zong3 er2 yan2 zhi1,tóm lại; nói ngắn gọn; nói đơn giản,,,,[],[],not_crawled
總能,总能,zong3 neng2,tổng năng lượng,,,,[],[],not_crawled
總裁,总裁,zong3 cai2,"chủ tịch; tổng giám đốc (của một công ty, v.v.)",,,,[],[],not_crawled
總裝,总装,zong3 zhuang1,lắp ráp (sản phẩm hoàn chỉnh); lắp ráp cuối cùng,,,,[],[],not_crawled
總裝備部,总装备部,Zong3 Zhuang1 bei4 bu4,Bộ Tổng trang bị (GAD),,,,[],[],not_crawled
總要,总要,zong3 yao4,tuy nhiên,,,,[],[],not_crawled
總覽,总览,zong3 lan3,cái nhìn tổng quan,,,,[],[],not_crawled
總角之交,总角之交,zong3 jiao3 zhi1 jiao1,bạn thời thơ ấu (thành ngữ),,,,[],[],not_crawled
總角之好,总角之好,zong3 jiao3 zhi1 hao3,bạn thời thơ ấu (thành ngữ),,,,[],[],not_crawled
總計,总计,zong3 ji4,tổng (toàn bộ),,,,[],[],not_crawled
總論,总论,zong3 lun4,(thường dùng trong sách hoặc tiêu đề chương) giới thiệu chung; tổng quan,,,,[],[],not_crawled
總諧波失真,总谐波失真,zong3 xie2 bo1 shi1 zhen1,(acoustics) méo hài tổng (THD),,,,[],[],not_crawled
總譜,总谱,zong3 pu3,bản nhạc tổng phổ,,,,[],[],not_crawled
總述,总述,zong3 shu4,tổng quan; đưa ra tổng quan,,,,[],[],not_crawled
總運單,总运单,zong3 yun4 dan1,vận đơn chủ (MAWB) (vận chuyển),,,,[],[],not_crawled
總部,总部,zong3 bu4,trụ sở chính,,,,[],[],not_crawled
總重,总重,zong3 zhong4,tổng trọng lượng; tổng trọng,,,,[],[],not_crawled
總量,总量,zong3 liang4,tổng; số lượng tổng thể,,,,[],[],not_crawled
總長,总长,zong3 chang2,tổng chiều dài,,,,[],[],not_crawled
總長,总长,zong3 zhang3,"tên gọi cho bộ trưởng giai đoạn 1912-1927, sau đó được thay bằng 部長|部长[bu4 zhang3]",,,,[],[],not_crawled
總開關,总开关,zong3 kai1 guan1,công tắc chính,,,,[],[],not_crawled
總集,总集,zong3 ji2,tuyển tập; tổng tập,,,,[],[],not_crawled
總需求,总需求,zong3 xu1 qiu2,tổng cầu,,,,[],[],not_crawled
總領事,总领事,zong3 ling3 shi4,tổng lãnh sự,,,,[],[],not_crawled
總領事館,总领事馆,zong3 ling3 shi4 guan3,tổng lãnh sự quán,,,,[],[],not_crawled
總領館,总领馆,zong3 ling3 guan3,tổng lãnh sự quán; giống như 總領事館|总领事馆[zong3 ling3 shi4 guan3],,,,[],[],not_crawled
總額,总额,zong3 e2,tổng (số lượng hoặc giá trị),,,,[],[],not_crawled
總風險,总风险,zong3 feng1 xian3,rủi ro tổng hợp,,,,[],[],not_crawled
總體,总体,zong3 ti3,hoàn toàn; tổng thể; tổng; toàn bộ; dân số (thống kê),,,,[],[],not_crawled
總體上說,总体上说,zong3 ti3 shang4 shuo1,nhìn vào bức tranh toàn cảnh; tóm lại; xem xét tất cả mọi thứ,,,,[],[],not_crawled
總體目標,总体目标,zong3 ti3 mu4 biao1,mục tiêu tổng thể; mục tiêu chung,,,,[],[],not_crawled
總體經濟學,总体经济学,zong3 ti3 jing1 ji4 xue2,kinh tế học vĩ mô (Đài Loan),,,,[],[],not_crawled
總體規劃,总体规划,zong3 ti3 gui1 hua4,kế hoạch tổng thể; quy hoạch tổng thể,,,,[],[],not_crawled
績,绩,ji4,"xe sợi (gai, v.v.); công trạng; thành tích; phiên âm ở Đài Loan: [ji1]",,,,[],[],not_crawled
績優股,绩优股,ji4 you1 gu3,cổ phiếu hạng nhất; cổ phiếu blue chip,,,,[],[],not_crawled
績效,绩效,ji4 xiao4,hiệu suất; kết quả; thành tích,,,,[],[],not_crawled
績溪,绩溪,Ji4 xi1,"Jixi, một huyện ở Xuancheng 宣城[Xuan1cheng2], An Huy",,,,[],[],not_crawled
績溪縣,绩溪县,Ji4 xi1 Xian4,"Jixi, một huyện ở Xuancheng 宣城[Xuan1cheng2], An Huy",,,,[],[],not_crawled
績點,绩点,ji4 dian3,(giáo dục) điểm trung bình,,,,[],[],not_crawled
縿,縿,shan1,tua trang trí; trang trí của cờ,,,,[],[],not_crawled
繁,繁,fan2,"phức tạp; nhiều; số lượng lớn; viết tắt của 繁體|繁体[fan2 ti3], dạng chữ Hán phồn thể",,,,[],[],not_crawled
繁冗,繁冗,fan2 rong3,biến thể của 煩冗|烦冗[fan2 rong3],,,,[],[],not_crawled
繁博,繁博,fan2 bo2,nhiều và rộng,,,,[],[],not_crawled
繁多,繁多,fan2 duo1,nhiều và đa dạng; nhiều loại khác nhau,,,,[],[],not_crawled
繁密,繁密,fan2 mi4,nhiều và sát nhau; (tóc) um tùm; (rừng) rậm rạp; (hỏa lực) dày đặc,,,,[],[],not_crawled
繁峙,繁峙,Fan2 shi4,"huyện Phàn Thị ở Tân Châu 忻州[Xin1 zhou1], Sơn Tây",,,,[],[],not_crawled
繁峙縣,繁峙县,Fan2 shi4 xian4,"huyện Phàn Thị ở Tân Châu 忻州[Xin1 zhou1], Sơn Tây",,,,[],[],not_crawled
繁徵博引,繁征博引,fan2 zheng1 bo2 yin3,một chuỗi tham khảo phức tạp; nhiều trích dẫn,,,,[],[],not_crawled
繁忙,繁忙,fan2 mang2,bận rộn; nhộn nhịp,,,,[],[],not_crawled
繁文,繁文,fan2 wen2,thủ tục rườm rà; hình thức phức tạp,,,,[],[],not_crawled
繁文縟節,繁文缛节,fan2 wen2 ru4 jie2,tài liệu rườm rà và phức tạp; viết lách không cần thiết; lằng nhằng khó hiểu,,,,[],[],not_crawled
繁昌,繁昌,Fan2 chang1,"Phàn Xương, một quận ở thành phố Vu Hồ 蕪湖市|芜湖市[Wu2hu2 Shi4], tỉnh An Huy",,,,[],[],not_crawled
繁昌區,繁昌区,Fan2 chang1 Qu1,"Phàn Xương, một quận ở thành phố Vu Hồ 蕪湖市|芜湖市[Wu2hu2 Shi4], tỉnh An Huy",,,,[],[],not_crawled
繁昌縣,繁昌县,Fan2 chang1 xian4,"huyện Phàn Xương ở Vu Hồ 蕪湖|芜湖[Wu2 hu2], tỉnh An Huy",,,,[],[],not_crawled
繁星,繁星,fan2 xing1,nhiều sao; bầu trời đầy sao,,,,[],[],not_crawled
繁本,繁本,fan2 ben3,phiên bản chi tiết; phiên bản chưa cắt gọt,,,,[],[],not_crawled
繁榮,繁荣,fan2 rong2,thịnh vượng; phát đạt (kinh tế),,,,[],[],not_crawled
繁榮昌盛,繁荣昌盛,fan2 rong2 chang1 sheng4,vinh quang và thịnh vượng (thành ngữ); hưng thịnh,,,,[],[],not_crawled
繁殖,繁殖,fan2 zhi2,sinh sản; sinh trưởng; sinh sôi,,,,[],[],not_crawled
繁瑣,繁琐,fan2 suo3,nhiều và phức tạp; bị sa lầy trong chi tiết nhỏ nhặt,,,,[],[],not_crawled
繁盛,繁盛,fan2 sheng4,thịnh vượng; phát đạt; (cây cối) tươi tốt,,,,[],[],not_crawled
繁簡,繁简,fan2 jian3,phức tạp và đơn giản; dạng phồn thể và giản thể của chữ Hán,,,,[],[],not_crawled
繁縟,繁缛,fan2 ru4,nhiều và tỉ mỉ,,,,[],[],not_crawled
繁縷,繁缕,fan2 lu:3,cây tinh thảo thường (Stellaria media),,,,[],[],not_crawled
繁育,繁育,fan2 yu4,nuôi dưỡng sinh sản,,,,[],[],not_crawled
繁花,繁花,fan2 hua1,hoa nở rộ; một rừng hoa; hoa tươi tốt,,,,[],[],not_crawled
繁茂,繁茂,fan2 mao4,(cây cối) tươi tốt; sum suê,,,,[],[],not_crawled
繁華,繁华,fan2 hua2,phồn hoa; nhộn nhịp,,,,[],[],not_crawled
繁蕪,繁芜,fan2 wu2,dài dòng; lắm lời; phát triển mạnh mẽ và hưng thịnh,,,,[],[],not_crawled
繁衍,繁衍,fan2 yan3,sinh sôi; sinh sản; tăng dần về số lượng hoặc khối lượng,,,,[],[],not_crawled
繁複,繁复,fan2 fu4,phức tạp,,,,[],[],not_crawled
繁重,繁重,fan2 zhong4,nặng nề; mệt nhọc; hạng nặng; gian khổ,,,,[],[],not_crawled
繁雜,繁杂,fan2 za2,nhiều; đa dạng,,,,[],[],not_crawled
繁體,繁体,fan2 ti3,"chữ phồn thể, trái với chữ giản thể 簡體|简体[jian3 ti3]",,,,[],[],not_crawled
繁體字,繁体字,fan2 ti3 zi4,chữ Hán phồn thể,,,,[],[],not_crawled
繁鬧,繁闹,fan2 nao4,nhộn nhịp,,,,[],[],not_crawled
繃,绷,beng1,kéo căng; căng chặt; khâu tạm (bằng chỉ hoặc ghim); (dạng kết hợp) khung thêu; (dạng kết hợp) chiếu dệt đan,,,,[],[],not_crawled
繃,绷,beng3,mặt căng thẳng,,,,[],[],not_crawled
繃不住,绷不住,beng1 bu5 zhu4,(tiếng lóng Internet) không kiềm chế được; không chịu nổi; không thể không (làm gì đó),,,,[],[],not_crawled
繃子,绷子,beng1 zi5,khung thêu; khung căng; vòng thêu,,,,[],[],not_crawled
繃巴吊拷,绷巴吊拷,beng1 ba1 diao4 kao3,biến thể của 繃扒吊拷|绷扒吊拷[beng1 ba1 diao4 kao3],,,,[],[],not_crawled
繃帶,绷带,beng1 dai4,băng (từ mượn),,,,[],[],not_crawled
繃床,绷床,beng1 chuang2,tấm bạt lò xo,,,,[],[],not_crawled
繃扒吊拷,绷扒吊拷,beng1 ba1 diao4 kao3,"lột trần, trói lại, treo lên và đánh, một kỹ thuật tra tấn cổ xưa",,,,[],[],not_crawled
繃簧,绷簧,beng1 huang2,lò xo,,,,[],[],not_crawled
繃緊,绷紧,beng1 jin3,kéo căng,,,,[],[],not_crawled
繃著臉,绷着脸,beng3 zhe5 lian3,mặt căng thẳng; mặt nhăn nhó; trông không vui,,,,[],[],not_crawled
繄,繄,yi1,thán từ; tiếng thở dài,,,,[],[],not_crawled
繅,缫,sao1,rút tơ từ kén,,,,[],[],not_crawled
繆,缪,Miao4,họ [Miao4],,,,[],[],not_crawled
繆,缪,liao3,biến thể cũ của 繚|缭[liao3],,,,[],[],not_crawled
繆,缪,miao4,mu (chữ cái Hy Lạp Μμ),,,,[],[],not_crawled
繆,缪,miu4,lỗi; sai lầm (biến thể của 謬|谬[miu4]),,,,[],[],not_crawled
繆,缪,mou2,quấn quanh,,,,[],[],not_crawled
繆,缪,mu4,biến thể cũ của 穆[mu4],,,,[],[],not_crawled
繆巧,缪巧,miu4 qiao3,kế hoạch; mưu đồ; thông minh; nhanh trí,,,,[],[],not_crawled
繆思,缪思,Miu4 si1,biến thể của 繆斯|缪斯[Miu4 si1],,,,[],[],not_crawled
繆斯,缪斯,Miu4 si1,nàng thơ (thần thoại Hy Lạp),,,,[],[],not_crawled
繇,繇,yao2,dân ca; lao động cưỡng bức,,,,[],[],not_crawled
繇,繇,you2,nguyên nhân; phương tiện,,,,[],[],not_crawled
繇,繇,zhou4,diễn giải quẻ bát quái,,,,[],[],not_crawled
繈,繈,qiang3,vải để địu em bé sau lưng,,,,[],[],not_crawled
繊,繊,xian1,biến thể Nhật Bản của 纖|纤,,,,[],[],not_crawled
繋,繋,xi4,biến thể của 繫|系[xi4],,,,[],[],not_crawled
繐,繐,sui4,vải mịn và lỏng; tua,,,,[],[],not_crawled
繒,缯,Zeng1,họ [Zeng1],,,,[],[],not_crawled
繒,缯,zeng1,vải lụa,,,,[],[],not_crawled
繒,缯,zeng4,buộc; thắt,,,,[],[],not_crawled
織,织,zhi1,dệt,,,,[],[],not_crawled
織品,织品,zhi1 pin3,vải dệt; hàng dệt,,,,[],[],not_crawled
織女,织女,Zhi1 nu:3,Sao Vega; Nàng dệt vải trong truyện dân gian,,,,[],[],not_crawled
織女星,织女星,Zhi1 nu:3 xing1,"Sao Vega, ngôi sao sáng nhất trong chòm Thiên Cầm 天琴星座",,,,[],[],not_crawled
織布,织布,zhi1 bu4,vải dệt; dệt vải,,,,[],[],not_crawled
織布機,织布机,zhi1 bu4 ji1,máy dệt,,,,[],[],not_crawled
織機,织机,zhi1 ji1,máy dệt,,,,[],[],not_crawled
織物,织物,zhi1 wu4,vải; vật liệu dệt; dệt may,,,,[],[],not_crawled
織田信長,织田信长,Zhi1 tian2 Xin4 chang2,"ODA Nobunaga (1534-1582), shogun (lãnh chúa) Nhật Bản, đóng vai trò quan trọng trong việc thống nhất Nhật Bản",,,,[],[],not_crawled
織當訪婢,织当访婢,zhi1 dang1 fang3 bi4,"nếu là dệt vải, hỏi người hầu (thành ngữ); khi xử lý vấn đề, hãy hỏi ý kiến chuyên gia phù hợp",,,,[],[],not_crawled
織紝,织纴,zhi1 ren4,xe sợi và dệt,,,,[],[],not_crawled
織花,织花,zhi1 hua1,hoa văn dệt,,,,[],[],not_crawled
織補,织补,zhi1 bu3,vá lại; khâu vá,,,,[],[],not_crawled
織造,织造,zhi1 zao4,dệt; sản xuất bằng cách dệt,,,,[],[],not_crawled
織金,织金,Zhi1 jin1,"huyện Zhijin ở địa khu Bijie 畢節地區|毕节地区[Bi4 jie2 di4 qu1], Quý Châu",,,,[],[],not_crawled
織金縣,织金县,Zhi1 jin1 xian4,"huyện Zhijin ở địa khu Bijie 畢節地區|毕节地区[Bi4 jie2 di4 qu1], Quý Châu",,,,[],[],not_crawled
織金錦,织金锦,zhi1 jin1 jin3,gấm vàng,,,,[],[],not_crawled
織錦,织锦,zhi1 jin3,gấm; vải lụa có hoa văn màu sắc,,,,[],[],not_crawled
繕,缮,shan4,sửa chữa; vá; chép lại; sao chép,,,,[],[],not_crawled
繕寫,缮写,shan4 xie3,sao chép; chép lại,,,,[],[],not_crawled
繕清,缮清,shan4 qing1,chép sạch,,,,[],[],not_crawled
繖,伞,san3,lụa trơn; biến thể của 傘|伞[san3],,,,[],[],not_crawled
繘,繘,yu4,dây giếng,,,,[],[],not_crawled
繙,繙,fan1,phiên dịch,,,,[],[],not_crawled
繚,缭,liao2,quấn quanh; khâu mũi chéo,,,,[],[],not_crawled
繚亂,缭乱,liao2 luan4,hoa mắt; bối rối,,,,[],[],not_crawled
繚繞,缭绕,liao2 rao4,(khói từ ống khói) cuộn lên; (âm thanh) vang vọng,,,,[],[],not_crawled
繚邊兒,缭边儿,liao2 bian1 r5,khâu viền,,,,[],[],not_crawled
繞,绕,rao4,quấn; cuộn (chỉ); xoay quanh; xoắn chuyển; di chuyển xung quanh; đi vòng (chướng ngại); đi vòng qua; đi đường vòng; làm rối; làm bối rối,,,,[],[],not_crawled
繞一圈,绕一圈,rao4 yi1 quan1,đi một vòng; làm một vòng,,,,[],[],not_crawled
